group_id,well_index,r_norm,g_norm,b_norm,r0,g0,b0,rgb_error
1,0,0.5506982782770753,0.4315470623732067,0.017754659349718045,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.3955797711405003
1,1,0.5714451457016725,0.42747116106506283,0.0010836932332647584,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.41946273868605904
1,2,0.5528828022467052,0.43513736848545187,0.011979829267842985,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.40228609899991147
1,3,0.5254466618159439,0.43238330218827425,0.0421700359957818,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.3626216940935934
1,4,0.5136309563437975,0.4548077361075584,0.03156130754864413,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.37192689999349776
1,5,0.5544285312904937,0.44413961101742977,0.0014318576920765106,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4139078487619736
2,6,0.7168118407991726,0.23589287175226176,0.04729528744856561,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.1528391069396631
2,7,0.7583594506512843,0.23671504878124963,0.004925500567465977,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.1656164378108714
2,8,0.77379746675191,0.223757060537582,0.0024454727105079365,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.15656683482482592
2,9,0.7165077939462804,0.23547513475648116,0.04801707129723859,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.1523196610947275
2,10,0.654545848998887,0.2711390059812946,0.07431514501981833,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.20530216396263257
2,11,0.6258324369340387,0.2790821365219213,0.09508542654404008,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.2270649126296759
3,12,0.49645617655618673,0.4743518801994156,0.02919194324439757,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.49726134461476007
3,13,0.4779203162438738,0.45741310251608985,0.06466658124003644,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.48922347907740604
3,14,0.48352503651721235,0.4547315542076392,0.06174340927514839,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.49546762193293076
3,15,0.5082597006210046,0.4565638943271317,0.03517640505186383,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.516402401868395
3,16,0.5067730190488656,0.48280519036463293,0.010421790586501434,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5036819551918225
3,17,0.5033350678351006,0.44574742667709666,0.05091750548780277,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5174041519336677
4,18,0.3137172232233461,0.3915063564346185,0.2947764203420352,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5941052445064219
4,19,0.301726414062215,0.3832292038948251,0.31504438204295976,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5696530923883963
4,20,0.31320032477681503,0.33420802460298316,0.35259165062020187,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.520956356921461
4,21,0.3039601944025351,0.38842720360760985,0.3076126019898549,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5789216498003488
4,22,0.3122009167041528,0.3949680291489413,0.2928310541469059,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5968125204716302
4,23,0.3110509880815265,0.39392678291945893,0.29502222899901454,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5941494580490979
