label,folder,n,best_output,best_well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,final_best_so_far
RGBN best,BEST_20260414_110943_RGBN,23,0.013049790951276376,15,0.6,0.3,0.1,0.0,0.013049790951276376
RGBN earlier,20260323_072608_RGBN_BwasRGBN,23,0.03517493388635582,6,0.5,0.3,0.2,0.0,0.03517493388635582
LABN,20260402_091558_LABN,23,0.06359838183504118,21,0.4,0.25,0.35,0.0,0.06359838183504118
Sobol baseline,random_sobol23_baseline,23,0.09852607715002425,18,0.15,0.8,0.05,0.0,0.09852607715002425
