group_id,well_index,r_norm,g_norm,b_norm,r0,g0,b0,rgb_error
1,0,0.5881595791890002,0.40998914980471973,0.0018512710062801023,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4250798600503017
1,1,0.5672041911652199,0.42362162838857725,0.0091741804462028,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.40978861717659676
1,2,0.5641026076140326,0.426478910763482,0.009418481622485228,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4084744639579042
1,3,0.5429786894803538,0.45207553186503285,0.004945778654613293,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4072950664248487
1,4,0.5172649256056441,0.442735126321547,0.03999994807280884,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.36310337075447646
1,5,0.5123920307323628,0.42027131408709084,0.0673366551805463,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.3322265227222163
2,6,0.5652147095856669,0.29897010899990767,0.13581518141442556,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.2847531424525073
2,7,0.6199335345275098,0.2901961492690475,0.08987031620344267,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.23966106773439225
2,8,0.7422815108001802,0.2546658471607432,0.003052642039076552,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.18315179483099878
2,9,0.6805664299730121,0.27247399591943383,0.04695957410755409,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.19900614672819003
2,10,0.7212239901360414,0.25906869164241386,0.019707318221544746,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.18287818319280813
2,11,0.7410805024666032,0.25677709111997327,0.002142406413423635,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.18557867967710676
3,12,0.5374033076977303,0.461663941486865,0.0009327508154047451,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5420260745044035
3,13,0.5366448614330865,0.4629602629588049,0.0003948756081084365,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5407838062514778
3,14,0.5533091056735535,0.4460204656736846,0.0006704286527617526,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5637367513932762
3,15,0.5547918833789811,0.44398306853312924,0.001225048087889617,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.565991592204934
3,16,0.5659198675439281,0.43369047928640153,0.0003896531696703335,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5809529371297963
3,17,0.5708177494835432,0.4286094860134865,0.0005727645029703835,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5877647619653094
4,18,0.35129384046340767,0.5556527631791509,0.09305339635744153,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.8509715050540545
4,19,0.34902476576089964,0.5585629649162354,0.09241226932286506,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.8523743008339247
4,20,0.34888919863254914,0.6268208382067458,0.024289963160705114,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.9435246834623983
4,21,0.36881406524299803,0.594947932283456,0.036238002473546124,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.9221659939776089
4,22,0.3823185101109069,0.6074910546594663,0.010190435229626763,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.9534866701057939
4,23,0.3636085559067071,0.628658267265529,0.007733176827763872,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.9615501577786238
