group_id,well_index,r_norm,g_norm,b_norm,r0,g0,b0,rgb_error
1,0,0.34106697731117747,0.3338985014992399,0.32503452118958265,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.011357770345849701
1,1,0.3403578972040167,0.3323416487376362,0.3273004540583471,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.009312548966701402
1,2,0.3391779311739616,0.3312579327007083,0.32956413612533003,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0072576483310640635
1,3,0.31591058342217665,0.34162271818407536,0.342466698393748,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.021346767272756428
1,4,0.3226785111355438,0.33852871982252986,0.3387927690419263,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.013050774501725721
1,5,0.3311994178538846,0.33727502927135267,0.3315255528747627,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.004833076900652289
2,6,0.3819262461514908,0.3097557842784913,0.3083179695700179,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.4848181992168651
2,7,0.38739509453692283,0.3063698528593218,0.3062350526037553,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.4781191986806731
2,8,0.3892751954081175,0.3027236043067193,0.30800120028516326,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.475831179381404
2,9,0.3947535257162222,0.3005487343916999,0.3046977398920778,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.4691161621861819
2,10,0.3861052290739389,0.30563459186085956,0.3082601790652015,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.47970253800279744
2,11,0.3957324014782641,0.2995442408319195,0.30472335768981634,0.7777777777777778,0.11111111111111113,0.11111111111111113,0.46792244651594705
3,12,0.3249750021786275,0.34230073038042047,0.33272426744095207,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5333764278358514
3,13,0.3291773866122338,0.3430920910615356,0.3277305223262307,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5323800485199344
3,14,0.3293828818335868,0.34356230331099813,0.32705481485541504,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5318057233121352
3,15,0.337904619471889,0.3383739080975684,0.32372147243054256,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5382510769751528
3,16,0.3304641553239223,0.34206052003199827,0.3274753246440794,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.533646661753514
3,17,0.3438390151034743,0.33512263331941655,0.3210383515771091,0.11111111111111113,0.7777777777777778,0.11111111111111113,0.5423792957901327
4,18,0.2561679817487827,0.3652836755934809,0.37854834265773635,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.4950043738402783
4,19,0.2639932500492858,0.3632852996823149,0.3727214502683993,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5010343284079857
4,20,0.25047944100090636,0.36767494843998555,0.3818456105591081,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.49194594727435303
4,21,0.265747576902721,0.36198724894193374,0.3722651741553452,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5012900804744432
4,22,0.29953332082504175,0.348503525491153,0.3519631536838053,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5226625886850493
4,23,0.27859023922808485,0.356997615685893,0.36441214508602215,0.11111111111111113,0.11111111111111113,0.7777777777777778,0.5092941957037026
